label,tokens_total,tokens_trainable,truncated
NEUTRAL,155,5,0
POSITIVE,137,4,0
POSITIVE,248,4,0
NEUTRAL,165,5,0
POSITIVE,262,4,0
NEGATIVE,232,4,0
NEUTRAL,239,5,0
POSITIVE,227,4,0
POSITIVE,88,4,0
NEUTRAL,222,5,0
NEGATIVE,142,4,0
NEGATIVE,233,4,0
NEGATIVE,158,4,0
NEGATIVE,160,4,0
NEUTRAL,127,5,0
POSITIVE,220,4,0
NEUTRAL,241,5,0
NEUTRAL,208,5,0
POSITIVE,196,4,0
NEGATIVE,122,4,0
NEUTRAL,108,5,0
NEGATIVE,147,4,0
NEUTRAL,183,5,0
POSITIVE,232,4,0
NEUTRAL,147,5,0
NEGATIVE,190,4,0
NEUTRAL,124,5,0
NEUTRAL,234,5,0
NEGATIVE,93,4,0
NEGATIVE,152,4,0
NEGATIVE,167,4,0
NEUTRAL,154,5,0
POSITIVE,79,4,0
NEGATIVE,113,4,0
POSITIVE,85,4,0
NEUTRAL,183,5,0
POSITIVE,76,4,0
POSITIVE,141,4,0
NEGATIVE,78,4,0
NEUTRAL,181,5,0
NEGATIVE,80,4,0
NEUTRAL,134,5,0
NEUTRAL,165,5,0
NEGATIVE,109,4,0
NEUTRAL,196,5,0
NEGATIVE,133,4,0
NEUTRAL,152,5,0
POSITIVE,157,4,0
NEGATIVE,140,4,0
POSITIVE,226,4,0
NEGATIVE,157,4,0
NEUTRAL,255,5,0
NEGATIVE,164,4,0
NEGATIVE,108,4,0
POSITIVE,225,4,0
NEUTRAL,226,5,0
NEGATIVE,131,4,0
NEUTRAL,202,5,0
POSITIVE,255,4,0
NEUTRAL,234,5,0
NEUTRAL,228,5,0
NEUTRAL,231,5,0
NEUTRAL,78,5,0
POSITIVE,175,4,0
POSITIVE,124,4,0
POSITIVE,231,4,0
NEGATIVE,233,4,0
NEGATIVE,190,4,0
NEUTRAL,201,5,0
NEGATIVE,116,4,0
POSITIVE,93,4,0
NEUTRAL,136,5,0
NEUTRAL,117,5,0
NEUTRAL,226,5,0
NEUTRAL,121,5,0
NEUTRAL,119,5,0
NEUTRAL,223,5,0
NEGATIVE,85,4,0
NEUTRAL,190,5,0
NEGATIVE,135,4,0
NEGATIVE,93,4,0
NEUTRAL,97,5,0
POSITIVE,188,4,0
POSITIVE,145,4,0
NEUTRAL,153,5,0
NEGATIVE,116,4,0
NEUTRAL,140,5,0
POSITIVE,150,4,0
NEGATIVE,140,4,0
NEUTRAL,162,5,0
NEUTRAL,263,5,0
NEGATIVE,257,4,0
POSITIVE,187,4,0
POSITIVE,143,4,0
NEUTRAL,165,5,0
NEUTRAL,156,5,0
POSITIVE,254,4,0
NEGATIVE,232,4,0
NEGATIVE,137,4,0
POSITIVE,145,4,0
POSITIVE,234,4,0
NEUTRAL,194,5,0
POSITIVE,224,4,0
NEUTRAL,217,5,0
POSITIVE,103,4,0
NEGATIVE,137,4,0
NEGATIVE,81,4,0
POSITIVE,100,4,0
POSITIVE,241,4,0
POSITIVE,130,4,0
NEGATIVE,244,4,0
NEGATIVE,154,4,0
POSITIVE,168,4,0
NEGATIVE,162,4,0
NEUTRAL,146,5,0
POSITIVE,121,4,0
POSITIVE,99,4,0
POSITIVE,244,4,0
NEUTRAL,138,5,0
POSITIVE,175,4,0
NEGATIVE,206,4,0
NEGATIVE,88,4,0
NEGATIVE,143,4,0
NEUTRAL,249,5,0
POSITIVE,201,4,0
POSITIVE,211,4,0
POSITIVE,125,4,0
NEUTRAL,168,5,0
NEUTRAL,143,5,0
NEGATIVE,134,4,0
POSITIVE,232,4,0
NEUTRAL,178,5,0
POSITIVE,238,4,0
POSITIVE,267,4,0
NEUTRAL,149,5,0
NEUTRAL,151,5,0
NEGATIVE,159,4,0
NEUTRAL,143,5,0
POSITIVE,227,4,0
NEGATIVE,102,4,0
NEGATIVE,137,4,0
POSITIVE,221,4,0
NEGATIVE,120,4,0
NEGATIVE,216,4,0
NEGATIVE,184,4,0
NEGATIVE,129,4,0
NEUTRAL,157,5,0
NEGATIVE,106,4,0
NEUTRAL,147,5,0
POSITIVE,160,4,0
NEGATIVE,152,4,0
NEGATIVE,216,4,0
NEUTRAL,234,5,0
POSITIVE,222,4,0
POSITIVE,138,4,0
NEGATIVE,202,4,0
POSITIVE,141,4,0
NEUTRAL,126,5,0
NEUTRAL,137,5,0
POSITIVE,148,4,0
POSITIVE,132,4,0
NEGATIVE,178,4,0
POSITIVE,176,4,0
NEGATIVE,144,4,0
NEUTRAL,159,5,0
NEGATIVE,239,4,0
NEGATIVE,187,4,0
NEGATIVE,227,4,0
NEGATIVE,154,4,0
POSITIVE,205,4,0
NEUTRAL,100,5,0
NEUTRAL,164,5,0
POSITIVE,246,4,0
NEUTRAL,211,5,0
POSITIVE,198,4,0
POSITIVE,101,4,0
POSITIVE,210,4,0
NEGATIVE,238,4,0
NEUTRAL,235,5,0
NEUTRAL,87,5,0
NEUTRAL,134,5,0
POSITIVE,120,4,0
NEGATIVE,104,4,0
NEUTRAL,201,5,0
POSITIVE,210,4,0
POSITIVE,78,4,0
NEGATIVE,85,4,0
POSITIVE,224,4,0
POSITIVE,206,4,0
NEUTRAL,117,5,0
NEUTRAL,130,5,0
NEUTRAL,109,5,0
POSITIVE,139,4,0
NEUTRAL,238,5,0
NEGATIVE,95,4,0
NEGATIVE,107,4,0
NEUTRAL,113,5,0
NEGATIVE,103,4,0
NEUTRAL,246,5,0
NEUTRAL,168,5,0
NEUTRAL,212,5,0
NEUTRAL,91,5,0
POSITIVE,167,4,0
POSITIVE,151,4,0
NEGATIVE,242,4,0
POSITIVE,130,4,0
NEGATIVE,219,4,0
NEUTRAL,128,5,0
POSITIVE,77,4,0
NEGATIVE,158,4,0
NEUTRAL,125,5,0
NEGATIVE,230,4,0
NEGATIVE,138,4,0
NEUTRAL,187,5,0
NEUTRAL,182,5,0
NEGATIVE,179,4,0
NEUTRAL,236,5,0
NEUTRAL,154,5,0
POSITIVE,134,4,0
POSITIVE,116,4,0
POSITIVE,182,4,0
POSITIVE,106,4,0
NEUTRAL,171,5,0
NEUTRAL,147,5,0
NEUTRAL,101,5,0
POSITIVE,83,4,0
NEUTRAL,229,5,0
POSITIVE,243,4,0
NEUTRAL,98,5,0
POSITIVE,179,4,0
POSITIVE,192,4,0
NEUTRAL,101,5,0
NEUTRAL,104,5,0
NEUTRAL,177,5,0
NEUTRAL,98,5,0
NEUTRAL,244,5,0
NEGATIVE,214,4,0
POSITIVE,168,4,0
POSITIVE,157,4,0
NEGATIVE,211,4,0
NEUTRAL,117,5,0
NEUTRAL,251,5,0
NEUTRAL,110,5,0
NEUTRAL,84,5,0
POSITIVE,223,4,0
NEUTRAL,93,5,0
NEUTRAL,187,5,0
POSITIVE,120,4,0
NEGATIVE,135,4,0
POSITIVE,134,4,0
NEUTRAL,275,5,0
POSITIVE,194,4,0
POSITIVE,269,4,0
NEUTRAL,105,5,0
NEUTRAL,139,5,0
NEUTRAL,87,5,0
POSITIVE,246,4,0
NEGATIVE,231,4,0
NEUTRAL,222,5,0
NEGATIVE,156,4,0
POSITIVE,139,4,0
NEGATIVE,110,4,0
POSITIVE,99,4,0
NEUTRAL,176,5,0
NEUTRAL,148,5,0
NEGATIVE,250,4,0
NEGATIVE,106,4,0
POSITIVE,141,4,0
NEGATIVE,163,4,0
POSITIVE,232,4,0
POSITIVE,241,4,0
POSITIVE,197,4,0
POSITIVE,130,4,0
NEGATIVE,114,4,0
NEGATIVE,229,4,0
POSITIVE,183,4,0
NEGATIVE,108,4,0
POSITIVE,135,4,0
POSITIVE,122,4,0
NEUTRAL,241,5,0
NEGATIVE,108,4,0
POSITIVE,189,4,0
POSITIVE,114,4,0
POSITIVE,134,4,0
POSITIVE,170,4,0
NEUTRAL,226,5,0
NEUTRAL,174,5,0
NEUTRAL,203,5,0
NEUTRAL,156,5,0
NEGATIVE,140,4,0
POSITIVE,88,4,0
POSITIVE,226,4,0
NEUTRAL,197,5,0
POSITIVE,115,4,0
POSITIVE,131,4,0
POSITIVE,85,4,0
NEUTRAL,119,5,0
POSITIVE,135,4,0
NEGATIVE,108,4,0
POSITIVE,200,4,0
NEUTRAL,228,5,0
POSITIVE,127,4,0
NEGATIVE,135,4,0
NEGATIVE,244,4,0
NEGATIVE,166,4,0
POSITIVE,80,4,0
POSITIVE,135,4,0
NEUTRAL,189,5,0
NEGATIVE,111,4,0
NEGATIVE,124,4,0
NEGATIVE,97,4,0
POSITIVE,174,4,0
POSITIVE,110,4,0
POSITIVE,118,4,0
NEGATIVE,246,4,0
NEGATIVE,242,4,0
NEUTRAL,237,5,0
NEUTRAL,124,5,0
POSITIVE,158,4,0
POSITIVE,76,4,0
NEUTRAL,213,5,0
NEUTRAL,207,5,0
POSITIVE,242,4,0
NEUTRAL,255,5,0
NEUTRAL,169,5,0
NEGATIVE,142,4,0
NEUTRAL,229,5,0
NEUTRAL,177,5,0
POSITIVE,202,4,0
POSITIVE,163,4,0
NEGATIVE,225,4,0
POSITIVE,205,4,0
NEUTRAL,232,5,0
POSITIVE,86,4,0
NEGATIVE,169,4,0
NEGATIVE,222,4,0
POSITIVE,202,4,0
NEUTRAL,225,5,0
NEGATIVE,193,4,0
NEGATIVE,176,4,0
NEUTRAL,149,5,0
POSITIVE,144,4,0
NEGATIVE,138,4,0
NEGATIVE,140,4,0
NEUTRAL,199,5,0
NEUTRAL,95,5,0
POSITIVE,229,4,0
NEUTRAL,265,5,0
NEGATIVE,242,4,0
POSITIVE,170,4,0
NEGATIVE,136,4,0
NEGATIVE,153,4,0
NEUTRAL,194,5,0
NEUTRAL,236,5,0
NEUTRAL,209,5,0
NEUTRAL,116,5,0
NEGATIVE,105,4,0
NEUTRAL,170,5,0
NEGATIVE,84,4,0
NEGATIVE,99,4,0
NEGATIVE,99,4,0
NEGATIVE,92,4,0
NEUTRAL,203,5,0
NEUTRAL,106,5,0
NEUTRAL,141,5,0
POSITIVE,150,4,0
NEGATIVE,131,4,0
NEUTRAL,236,5,0
NEUTRAL,113,5,0
NEUTRAL,199,5,0
POSITIVE,156,4,0
NEGATIVE,215,4,0
POSITIVE,183,4,0
POSITIVE,249,4,0
NEGATIVE,93,4,0
NEGATIVE,166,4,0
POSITIVE,202,4,0
POSITIVE,84,4,0
NEUTRAL,191,5,0
POSITIVE,123,4,0
POSITIVE,236,4,0
POSITIVE,117,4,0
NEUTRAL,249,5,0
POSITIVE,179,4,0
NEGATIVE,118,4,0
NEUTRAL,126,5,0
NEUTRAL,141,5,0
NEGATIVE,101,4,0
NEUTRAL,192,5,0
NEGATIVE,152,4,0
NEGATIVE,112,4,0
NEGATIVE,128,4,0
NEGATIVE,215,4,0
NEUTRAL,188,5,0
NEGATIVE,222,4,0
POSITIVE,199,4,0
NEGATIVE,102,4,0
POSITIVE,159,4,0
NEUTRAL,207,5,0
NEUTRAL,239,5,0
NEUTRAL,126,5,0
NEUTRAL,157,5,0
POSITIVE,216,4,0
POSITIVE,89,4,0
NEGATIVE,77,4,0
NEGATIVE,163,4,0
NEUTRAL,230,5,0
NEGATIVE,238,4,0
POSITIVE,186,4,0
NEGATIVE,177,4,0
NEGATIVE,99,4,0
NEGATIVE,94,4,0
NEGATIVE,128,4,0
NEUTRAL,126,5,0
POSITIVE,148,4,0
NEGATIVE,130,4,0
POSITIVE,265,4,0
NEGATIVE,115,4,0
POSITIVE,189,4,0
POSITIVE,80,4,0
POSITIVE,174,4,0
NEUTRAL,141,5,0
NEUTRAL,211,5,0
NEUTRAL,216,5,0
NEGATIVE,126,4,0
NEUTRAL,171,5,0
NEGATIVE,163,4,0
NEUTRAL,144,5,0
NEUTRAL,199,5,0
NEGATIVE,212,4,0
NEGATIVE,179,4,0
POSITIVE,88,4,0
NEUTRAL,188,5,0
POSITIVE,237,4,0
NEUTRAL,124,5,0
NEGATIVE,130,4,0
NEUTRAL,210,5,0
NEGATIVE,168,4,0
NEGATIVE,175,4,0
NEUTRAL,260,5,0
POSITIVE,108,4,0
NEUTRAL,114,5,0
NEGATIVE,98,4,0
NEGATIVE,255,4,0
NEUTRAL,161,5,0
NEUTRAL,242,5,0
NEGATIVE,221,4,0
POSITIVE,227,4,0
NEUTRAL,206,5,0
NEUTRAL,116,5,0
POSITIVE,278,4,0
NEUTRAL,134,5,0
NEUTRAL,181,5,0
NEUTRAL,110,5,0
POSITIVE,233,4,0
POSITIVE,213,4,0
NEUTRAL,200,5,0
NEGATIVE,117,4,0
POSITIVE,148,4,0
NEUTRAL,233,5,0
NEGATIVE,234,4,0
NEUTRAL,219,5,0
POSITIVE,147,4,0
NEGATIVE,194,4,0
POSITIVE,79,4,0
POSITIVE,166,4,0
NEUTRAL,119,5,0
NEUTRAL,176,5,0
NEGATIVE,149,4,0
POSITIVE,122,4,0
POSITIVE,116,4,0
POSITIVE,82,4,0
POSITIVE,121,4,0
NEUTRAL,131,5,0
POSITIVE,225,4,0
NEGATIVE,223,4,0
NEGATIVE,231,4,0
POSITIVE,161,4,0
NEUTRAL,202,5,0
NEUTRAL,78,5,0
POSITIVE,149,4,0
POSITIVE,109,4,0
NEGATIVE,126,4,0
POSITIVE,152,4,0
NEUTRAL,215,5,0
POSITIVE,97,4,0
POSITIVE,172,4,0
NEUTRAL,238,5,0
POSITIVE,159,4,0
NEGATIVE,110,4,0
NEGATIVE,218,4,0
NEUTRAL,212,5,0
NEUTRAL,165,5,0
NEGATIVE,90,4,0
NEUTRAL,183,5,0
POSITIVE,230,4,0
NEGATIVE,152,4,0
POSITIVE,140,4,0
NEGATIVE,200,4,0
NEGATIVE,125,4,0
NEUTRAL,105,5,0
POSITIVE,179,4,0
NEGATIVE,218,4,0
NEGATIVE,230,4,0
POSITIVE,115,4,0
NEUTRAL,87,5,0
NEUTRAL,144,5,0
NEGATIVE,227,4,0
NEUTRAL,83,5,0
NEGATIVE,99,4,0
NEGATIVE,121,4,0
POSITIVE,247,4,0
POSITIVE,223,4,0
POSITIVE,190,4,0
NEUTRAL,114,5,0
NEGATIVE,189,4,0
POSITIVE,97,4,0
POSITIVE,149,4,0
POSITIVE,221,4,0
POSITIVE,95,4,0
POSITIVE,228,4,0
NEUTRAL,204,5,0
NEGATIVE,203,4,0
POSITIVE,168,4,0
NEUTRAL,90,5,0
NEUTRAL,153,5,0
POSITIVE,218,4,0
NEGATIVE,109,4,0
NEGATIVE,201,4,0
NEGATIVE,123,4,0
NEUTRAL,177,5,0
NEUTRAL,92,5,0
NEUTRAL,194,5,0
NEUTRAL,154,5,0
NEGATIVE,110,4,0
NEGATIVE,198,4,0
POSITIVE,218,4,0
NEUTRAL,212,5,0
POSITIVE,134,4,0
POSITIVE,83,4,0
NEUTRAL,239,5,0
NEGATIVE,206,4,0
POSITIVE,211,4,0
POSITIVE,115,4,0
POSITIVE,120,4,0
NEGATIVE,202,4,0
NEGATIVE,134,4,0
NEGATIVE,236,4,0
NEUTRAL,170,5,0
POSITIVE,93,4,0
NEUTRAL,260,5,0
NEGATIVE,257,4,0
NEGATIVE,131,4,0
NEUTRAL,153,5,0
NEGATIVE,139,4,0
NEGATIVE,114,4,0
NEUTRAL,227,5,0
POSITIVE,91,4,0
NEGATIVE,200,4,0
NEGATIVE,103,4,0
POSITIVE,84,4,0
NEUTRAL,127,5,0
NEGATIVE,158,4,0
NEGATIVE,250,4,0
NEGATIVE,170,4,0
POSITIVE,171,4,0
NEUTRAL,226,5,0
NEGATIVE,150,4,0
POSITIVE,174,4,0
POSITIVE,249,4,0
POSITIVE,113,4,0
NEGATIVE,81,4,0
NEUTRAL,161,5,0
NEGATIVE,112,4,0
POSITIVE,212,4,0
POSITIVE,132,4,0
NEUTRAL,266,5,0
POSITIVE,203,4,0
NEGATIVE,145,4,0
NEUTRAL,131,5,0
NEGATIVE,204,4,0
NEUTRAL,143,5,0
NEUTRAL,150,5,0
NEUTRAL,237,5,0
POSITIVE,175,4,0
POSITIVE,246,4,0
NEGATIVE,132,4,0
POSITIVE,145,4,0
POSITIVE,238,4,0
NEUTRAL,239,5,0
NEUTRAL,192,5,0
NEGATIVE,85,4,0
POSITIVE,97,4,0
POSITIVE,91,4,0
NEUTRAL,105,5,0
POSITIVE,188,4,0
POSITIVE,220,4,0
NEGATIVE,135,4,0
NEUTRAL,184,5,0
NEGATIVE,164,4,0
POSITIVE,100,4,0
NEUTRAL,227,5,0
POSITIVE,186,4,0
NEGATIVE,181,4,0
NEGATIVE,233,4,0
NEGATIVE,158,4,0
NEGATIVE,176,4,0
POSITIVE,97,4,0
NEUTRAL,225,5,0
POSITIVE,228,4,0
NEGATIVE,96,4,0
NEUTRAL,216,5,0
NEUTRAL,106,5,0
NEUTRAL,161,5,0
NEGATIVE,220,4,0
NEUTRAL,121,5,0
POSITIVE,141,4,0
NEGATIVE,214,4,0
NEGATIVE,157,4,0
NEGATIVE,122,4,0
NEUTRAL,199,5,0
POSITIVE,172,4,0
NEUTRAL,133,5,0
POSITIVE,107,4,0
POSITIVE,214,4,0
NEGATIVE,241,4,0
NEUTRAL,193,5,0
POSITIVE,130,4,0
NEUTRAL,96,5,0
POSITIVE,170,4,0
POSITIVE,143,4,0
POSITIVE,75,4,0
NEUTRAL,120,5,0
NEGATIVE,76,4,0
NEGATIVE,178,4,0
NEGATIVE,119,4,0
NEGATIVE,95,4,0
POSITIVE,189,4,0
NEUTRAL,234,5,0
NEGATIVE,194,4,0
POSITIVE,235,4,0
POSITIVE,161,4,0
NEGATIVE,94,4,0
POSITIVE,138,4,0
NEUTRAL,163,5,0
NEUTRAL,174,5,0
NEGATIVE,179,4,0
POSITIVE,104,4,0
POSITIVE,103,4,0
POSITIVE,140,4,0
POSITIVE,223,4,0
POSITIVE,111,4,0
NEGATIVE,115,4,0
NEUTRAL,129,5,0
NEGATIVE,237,4,0
POSITIVE,223,4,0
NEGATIVE,177,4,0
NEUTRAL,133,5,0
NEGATIVE,147,4,0
NEGATIVE,214,4,0
POSITIVE,113,4,0
POSITIVE,246,4,0
NEGATIVE,109,4,0
NEUTRAL,105,5,0
NEUTRAL,211,5,0
NEGATIVE,89,4,0
POSITIVE,109,4,0
POSITIVE,167,4,0
POSITIVE,206,4,0
NEGATIVE,217,4,0
NEGATIVE,97,4,0
POSITIVE,161,4,0
NEUTRAL,94,5,0
NEUTRAL,143,5,0
POSITIVE,151,4,0
NEUTRAL,230,5,0
NEUTRAL,168,5,0
POSITIVE,108,4,0
POSITIVE,114,4,0
NEGATIVE,131,4,0
NEUTRAL,124,5,0
NEGATIVE,83,4,0
POSITIVE,120,4,0
NEUTRAL,193,5,0
POSITIVE,171,4,0
POSITIVE,123,4,0
POSITIVE,196,4,0
NEGATIVE,124,4,0
NEUTRAL,268,5,0
NEUTRAL,212,5,0
NEUTRAL,198,5,0
NEUTRAL,143,5,0
NEUTRAL,185,5,0
POSITIVE,146,4,0
POSITIVE,85,4,0
POSITIVE,118,4,0
NEUTRAL,188,5,0
NEUTRAL,173,5,0
NEGATIVE,159,4,0
